Date,PORTFOLIO
4/24/19,0
4/25/19,0
4/26/19,6.09573E-05
4/29/19,-3.05582E-05
4/30/19,-6.07991E-05
5/1/19,9.05574E-05
5/2/19,-6.11173E-05
5/3/19,3.03991E-05
5/6/19,6.11155E-05
5/7/19,3.05563E-05
5/8/19,-3.05563E-05
5/9/19,3.05563E-05
5/10/19,0
5/13/19,9.16634E-05
5/14/19,-3.05535E-05
5/15/19,6.11061E-05
5/16/19,-3.05526E-05
5/17/19,3.05526E-05
5/20/19,-3.05526E-05
5/21/19,-3.05535E-05
5/22/19,6.11061E-05
5/23/19,9.14922E-05
5/24/19,0
5/27/19,0
5/28/19,6.10968E-05
5/29/19,0
5/30/19,6.10931E-05
5/31/19,0
6/3/19,0.000181178
6/4/19,-6.12419E-05
6/5/19,0
6/6/19,0
6/7/19,6.12419E-05
6/10/19,-9.17843E-05
6/11/19,0
6/12/19,6.10839E-05
6/13/19,3.07004E-05
6/14/19,0
6/17/19,0
6/18/19,3.05396E-05
6/19/19,6.12363E-05
6/20/19,3.05368E-05
6/21/19,-6.12344E-05
6/24/19,6.12344E-05
6/25/19,3.06957E-05
6/26/19,-6.12325E-05
6/27/19,3.05368E-05
6/28/19,-9.16132E-05
7/1/19,9.08138E-05
7/2/19,3.06958E-05
7/3/19,6.12288E-05
7/4/19,0
7/5/19,-0.000122621
7/8/19,0
7/9/19,-3.06976E-05
7/10/19,3.06976E-05
7/11/19,-6.13962E-05
7/12/19,3.06986E-05
7/15/19,3.06976E-05
7/16/19,-3.06976E-05
7/17/19,6.13944E-05
7/18/19,3.06958E-05
7/19/19,-3.06958E-05
7/22/19,3.06958E-05
7/23/19,-3.06958E-05
7/24/19,3.06958E-05
7/25/19,-3.06958E-05
7/26/19,0
7/29/19,3.06958E-05
7/30/19,0
7/31/19,5.11587E-06
8/1/19,0.000184633
8/2/19,3.0689E-05
8/5/19,0.000123066
8/6/19,3.06843E-05
8/7/19,0
8/8/19,-3.06843E-05
8/9/19,-3.0845E-05
